en-US=abacus	zh=算盘
en-US=symptom	es-ES=síntoma
en-US=symptom	zh=症状
en-US=syndrome	es-ES=síndrome
en-US=system	es-ES=sistema
en-US=tariff	zh=关税
en-US=teach	es-ES=enseñar
en-US=teapot	zh=茶壶
en-US=teaspoon	zh=茶匙
en-US=technician	es-ES=técnico
en-US=technique	es-ES=técnica
en-US=technology	es-ES=tecnología
en-US=telescope	es-ES=telescopio
en-US=temperature	zh=温度
en-US=temporary	zh=暂时
en-US=tennis	es-ES=tenis
en-US=tennis	zh=网球
en-US=tent	zh=帐篷
en-US=territory	es-ES=territorio
en-US=terror	es-ES=terror
en-US=terrorist	es-ES=terrorista
en-US=testimony	es-ES=testimonio
en-US=thank	es-ES=agradecer
en-US=theft	zh=盗窃
en-US=theology	es-ES=teología
en-US=therapy	es-ES=terapia
en-US=therapy	zh=疗法
en-US=thigh	zh=大腿
en-US=thirteen	es-ES=trece,13
en-US=thirty	es-ES=treinta,30
en-US=threat	es-ES=amenaza
en-US=three	es-ES=tres,3
en-US=throughout	zh=到处
en-US=thwart	zh=阻挠
en-US=tidy	zh=整齐
en-US=tobacco	es-ES=tabaco
en-US=tolerance	es-ES=tolerancia
en-US=tolerance	zh=宽容
en-US=tomato	es-ES=tomate
en-US=tomb	es-ES=tumba
en-US=tomorrow	es-ES=mañana
en-US=toolbox	zh=工具箱
en-US=toothbrush	zh=牙刷
en-US=toothpaste	zh=牙膏
en-US=torso	zh=躯干
en-US=tourist	es-ES=turista
en-US=townsman	zh=市民
en-US=trace	zh=痕迹
en-US=tragedy	es-ES=tragedia
en-US=trailblazer	zh=先驱
en-US=trajectory	es-ES=trayectoria
en-US=trance	es-ES=trance
en-US=transit	zh=通过
en-US=transplant	zh=移植
en-US=treaty	zh=条约
en-US=trek	es-ES=jornada
en-US=triangle	es-ES=triángulo
en-US=tribe	es-ES=tribu
en-US=tribune	es-ES=tribuna
en-US=tripod	zh=三脚架
en-US=truth	es-ES=verdad
en-US=tsunami	zh=海啸
en-US=tuberculosis	es-ES=tuberculosis
en-US=tulip	zh=郁金香
en-US=tuna	zh=金枪鱼
en-US=turkey	zh=火鸡
en-US=twelve	es-ES=doce,12
en-US=twenty	es-ES=veinte,20
en-US=underpants	zh=内裤
en-US=unfair	zh=不公平
en-US=uniform	es-ES=uniforme
en-US=unit	es-ES=unidad
en-US=unite	zh=结合
en-US=universe	es-ES=universo
en-US=universe	zh=宇宙
en-US=update	zh=更新
en-US=upgrade	zh=升级
en-US=upstairs	zh=楼上
en-US=upstream	zh=上游
en-US=urban	es-ES=urbano
en-US=urine	es-ES=orina
en-US=user	es-ES=usuario
en-US=utopia	es-ES=utopía
en-US=vaccine	es-ES=vacuna
en-US=vaccine	zh=疫苗
en-US=vampire	zh=吸血鬼
en-US=vanguard	es-ES=vanguardia
en-US=vase	zh=花瓶
en-US=vent	zh=发泄
en-US=verb	es-ES=verbo
en-US=veterinarian	zh=兽医
en-US=victory	es-ES=victoria
en-US=vinegar	es-ES=vinagre
en-US=vintage	zh=年份
en-US=violin	es-ES=violín
en-US=virtue	es-ES=virtud
en-US=virus	es-ES=virus
en-US=visa	zh=签证
en-US=visible	es-ES=visible
en-US=visitor	es-ES=visita
en-US=void	zh=空洞
en-US=volcano	es-ES=volcán
en-US=volleyball	zh=排球
en-US=voltage	zh=电压
en-US=volume	es-ES=volumen
en-US=voluntary	es-ES=voluntario
en-US=volunteer	es-ES=voluntario
en-US=waif	es-ES=hallazgo
en-US=walnut	zh=核桃
en-US=warfare	es-ES=guerra
en-US=warfare	zh=战争
en-US=warm	zh=暖和
en-US=waterfall	zh=瀑布
en-US=watermelon	zh=西瓜
en-US=wealth	zh=财富
en-US=weapon	es-ES=arma
en-US=weaponry	es-ES=armas
en-US=website	zh=网站
en-US=wetland	zh=湿地
en-US=whatsoever	zh=任何
en-US=wheat	es-ES=trigo
en-US=wheelchair	zh=轮椅
en-US=width	zh=宽度
en-US=wildlife	zh=野生动物
en-US=windfall	zh=暴利
en-US=windmill	zh=风车
en-US=window	es-ES=ventana
en-US=wisdom	es-ES=sabiduría
en-US=wisdom	zh=智慧
en-US=woman	es-ES=mujer
en-US=wonderland	zh=仙境
en-US=wool	zh=羊毛
en-US=workbench	zh=工作台
en-US=workout	zh=锻炼
en-US=worldwide	zh=全球
en-US=wristwatch	zh=手表
en-US=yesterday	es-ES=ayer
es-ES=abdomen	en-US=abdomen
es-ES=aburrimiento	en-US=boredom
es-ES=academia	en-US=academy
es-ES=académica	en-US=academician
es-ES=actualización	en-US=update
es-ES=ademán	en-US=gesture
es-ES=adoptada	en-US=adoptee
es-ES=adoptar	en-US=adopt
es-ES=adulta	en-US=adult
es-ES=adversario	en-US=adversary
es-ES=aeropuerto	en-US=airport
es-ES=agrario	en-US=agrarian
es-ES=alrededores	en-US=outskirts
es-ES=aluminio	en-US=aluminium,aluminum
es-ES=amarillo	en-US=yellow
es-ES=amén	en-US=amen
es-ES=amnistía	en-US=amnesty
es-ES=anatomía	en-US=anatomy
es-ES=anécdota	en-US=anecdote
es-ES=aniversario	en-US=anniversary
es-ES=antiterrorista	en-US=antiterrorist
es-ES=antología	en-US=anthology
es-ES=antropología	en-US=anthropology
es-ES=aprender	en-US=learn
es-ES=araña	en-US=spider
es-ES=arce	en-US=maple
es-ES=archipiélago	en-US=archipelago
es-ES=arquitecto	en-US=architect
es-ES=arquitectura	en-US=architecture
es-ES=arzobispo	en-US=archbishop
es-ES=asma	en-US=asthma
es-ES=atardecer	en-US=sunset
es-ES=atleta	en-US=athlete
es-ES=auge	en-US=heyday
es-ES=aula	en-US=classroom
es-ES=bacterias	en-US=bacteria
es-ES=baja	en-US=casualty
es-ES=ballet	en-US=ballet
es-ES=baloncesto	en-US=basketball
es-ES=banquero	en-US=banker
es-ES=béisbol	en-US=baseball
es-ES=bicicleta	en-US=bicycle
es-ES=biología	en-US=biology
es-ES=boletín	en-US=bulletin
es-ES=botones	en-US=bellboy
es-ES=brigada	en-US=brigade
es-ES=burgués	en-US=bourgeois
es-ES=burguesía	en-US=bourgeoisie
es-ES=calcio	en-US=calcium
es-ES=cáncer	en-US=cancer
es-ES=canciller	en-US=chancellor
es-ES=canción	en-US=song
es-ES=candidato	en-US=candidate
es-ES=canela	en-US=cinnamon
es-ES=caos	en-US=chaos
es-ES=captura	en-US=capture
es-ES=carolina	en-US=cockatiel
es-ES=cartón	en-US=cardboard
es-ES=cascos	en-US=headphones
es-ES=catálogo	en-US=catalogue,catalog
es-ES=catástrofe	en-US=catastrophe
es-ES=catorce	en-US=fourteen,14
es-ES=cazador	en-US=hunter
es-ES=celos	en-US=jealousy
es-ES=censo	en-US=census
es-ES=cerebro	en-US=brain
es-ES=certificado	en-US=certificate
es-ES=cheque	en-US=cheque,check
es-ES=ciclista	en-US=cyclist
es-ES=cierta	en-US=certain
es-ES=cineasta	en-US=filmmaker
es-ES=cirujano	en-US=surgeon
es-ES=ciudadana	en-US=citizen
es-ES=civil	en-US=civil
es-ES=clarín	en-US=bugle
es-ES=claustro	en-US=cloister
es-ES=clero	en-US=clergy
es-ES=cocaína	en-US=cocaine
es-ES=colaborar	en-US=collaborate
es-ES=colesterol	en-US=cholesterol
es-ES=comedia	en-US=comedy
es-ES=comisario	en-US=curator
es-ES=comparación	en-US=comparison
es-ES=compatible	en-US=compatible
es-ES=compatriota	en-US=compatriot
es-ES=compositor	en-US=composer
es-ES=compra	en-US=purchase
es-ES=comprensible	en-US=comprehensible
es-ES=compuesto	en-US=compound
es-ES=concepto	en-US=concept
es-ES=concertación	en-US=concert
es-ES=conectar	en-US=connect
es-ES=confiado	en-US=confident
es-ES=conflicto	en-US=conflict
es-ES=conocimientos	en-US=knowledge
es-ES=conquista	en-US=conquest
es-ES=conquistar	en-US=conquer
es-ES=conseguido	en-US=successful
es-ES=consenso	en-US=consensus
es-ES=considerado	en-US=considerate
es-ES=constituyente	en-US=constituent
es-ES=consumidor	en-US=consumer
es-ES=contacto	en-US=contact
es-ES=contribuir	en-US=contribute
es-ES=controversia	en-US=controversy
es-ES=convencer	en-US=convince
es-ES=convivir	en-US=cohabit
es-ES=coordinar	en-US=coordinate
es-ES=corbata	en-US=necktie
es-ES=corpus	en-US=corpus
es-ES=cosmos	en-US=cosmos
es-ES=crear	en-US=create
es-ES=cumpleaños	en-US=birthday
es-ES=deberes	en-US=homework
es-ES=década	en-US=decade
es-ES=decenas	en-US=dozen
es-ES=decidir	en-US=decide
es-ES=décima	en-US=tenth
es-ES=décimo	en-US=tenth
es-ES=decorado	en-US=scenery
es-ES=dedicar	en-US=devote
es-ES=democracia	en-US=democracy
es-ES=demócrata	en-US=democrat
es-ES=deportivas	en-US=sneaker
es-ES=desayuno	en-US=breakfast
es-ES=despido	en-US=layoff
es-ES=deuda	en-US=debt
es-ES=diabetes	en-US=diabetes
es-ES=diámetro	en-US=diameter
es-ES=diccionario	en-US=dictionary
es-ES=dictador	en-US=dictator
es-ES=diecinueve	en-US=nineteen,19
es-ES=dieciocho	en-US=eighteen,18
es-ES=dieciséis	en-US=sixteen,16
es-ES=diecisiete	en-US=seventeen,17
es-ES=dieta	en-US=diet
es-ES=diferenciar	en-US=differentiate
es-ES=diplomacia	en-US=diplomacy
es-ES=diplomática	en-US=diplomat
es-ES=discípulo	en-US=disciple
es-ES=distinción	en-US=renown
es-ES=distrito	en-US=district
es-ES=divorcio	en-US=divorce
es-ES=doce	en-US=twelve,12
es-ES=docena	en-US=dozen
es-ES=doctrina	en-US=doctrine
es-ES=documental	en-US=documentary
es-ES=drama	en-US=drama
es-ES=dueña	en-US=chaperone
es-ES=duquesa	en-US=duchess
es-ES=ecología	en-US=ecology
es-ES=economista	en-US=economist
es-ES=ecuador	en-US=equator
es-ES=electorado	en-US=electorate
es-ES=embajada	en-US=embassy
es-ES=embajador	en-US=ambassador
es-ES=enamorada	en-US=lover
es-ES=encabezado	en-US=header
es-ES=enemigo	en-US=enemy
es-ES=ensalada	en-US=salad
es-ES=enseña	en-US=ensign
es-ES=entrevista	en-US=interview
es-ES=envergadura	en-US=wingspan
es-ES=equipaje	en-US=luggage
es-ES=escuchar	en-US=listen
es-ES=escultor	en-US=sculptor
es-ES=espanto	en-US=dismay
es-ES=especialidad	en-US=specialty
es-ES=especie	en-US=species
es-ES=espejo	en-US=mirror
es-ES=espionaje	en-US=espionage
es-ES=estatua	en-US=statue
es-ES=estímulo	en-US=stimulus
es-ES=euro	en-US=euro
es-ES=evangelio	en-US=gospel
es-ES=exactitud	en-US=accuracy
es-ES=explorar	en-US=explore
es-ES=éxtasis	en-US=ecstasy
es-ES=fabricante	en-US=manufacturer
es-ES=falange	en-US=phalanx
es-ES=farmacia	en-US=pharmacy
es-ES=feminista	en-US=feminist
es-ES=feto	en-US=fetus,foetus
es-ES=filósofo	en-US=philosopher
es-ES=foro	en-US=forum
es-ES=fotógrafo	en-US=photographer
es-ES=frecuente	en-US=frequent
es-ES=gasolina	en-US=gasoline
es-ES=gastar	en-US=spend
es-ES=geometría	en-US=geometry
es-ES=gobernador	en-US=governor
es-ES=golf	en-US=golf
es-ES=hegemonía	en-US=hegemony
es-ES=hembra	en-US=female
es-ES=hidrógeno	en-US=hydrogen
es-ES=hígado	en-US=liver
es-ES=higiene	en-US=hygiene
es-ES=historiador	en-US=historian
es-ES=honestidad	en-US=honesty
es-ES=horizonte	en-US=horizon
es-ES=horror	en-US=horror
es-ES=hortensia	en-US=hydrangea
es-ES=hotel	en-US=hotel
es-ES=huracán	en-US=hurricane
es-ES=identificar	en-US=identify
es-ES=ideología	en-US=ideology
es-ES=iglesia	en-US=church
es-ES=imaginado	en-US=fanciful
es-ES=imaginario	en-US=imaginary
es-ES=impacto	en-US=impact
es-ES=imperio	en-US=empire
es-ES=incesante	en-US=incessant
es-ES=incorporado	en-US=corporate
es-ES=indicaciones	en-US=directions
es-ES=inexistente	en-US=nonexistent
es-ES=infancia	en-US=childhood
es-ES=infantería	en-US=infantry
es-ES=ingeniero	en-US=engineer
es-ES=injusticia	en-US=injustice
es-ES=insistir	en-US=insist
es-ES=insomnio	en-US=insomnia
es-ES=instinto	en-US=instinct
es-ES=instituto	en-US=institute
es-ES=instrucciones	en-US=directions
es-ES=insuficiente	en-US=insufficient
es-ES=insulina	en-US=insulin
es-ES=intolerancia	en-US=intolerance
es-ES=inventario	en-US=inventory
es-ES=invisible	en-US=invisible
es-ES=ironía	en-US=irony
es-ES=irreversible	en-US=irreversible
es-ES=jerarquía	en-US=hierarchy
es-ES=joyas	en-US=jewellery,jewelry
es-ES=kilo	en-US=kilo
es-ES=kilómetro	en-US=kilometre,kilometer
es-ES=laboratorio	en-US=laboratory
es-ES=ladera	en-US=mountainside
es-ES=lago	en-US=lake
es-ES=lápiz	en-US=pencil
es-ES=lechuga	en-US=lettuce
es-ES=legado	en-US=legacy
es-ES=legislador	en-US=legislator
es-ES=legislatura	en-US=legislature
es-ES=legitimidad	en-US=legitimacy
es-ES=literatura	en-US=literature
es-ES=litro	en-US=litre,liter
es-ES=locutor	en-US=announcer
es-ES=lujo	en-US=luxury
es-ES=mafia	en-US=mafia
es-ES=magistrado	en-US=magistrate
es-ES=magnífico	en-US=magnificent
es-ES=magnitud	en-US=magnitude
es-ES=maniobra	en-US=maneuver,manoeuvre
es-ES=mantequilla	en-US=butter
es-ES=manuscrito	en-US=manuscript
es-ES=maquillaje	en-US=makeup
es-ES=maquinaria	en-US=machinery
es-ES=máquinas	en-US=machinery
es-ES=marina	en-US=navy
es-ES=marino	en-US=marine
es-ES=maternidad	en-US=motherhood
es-ES=medianoche	en-US=midnight
es-ES=medicina	en-US=medicine
es-ES=membrana	en-US=membrane
es-ES=mensaje	en-US=message
es-ES=menú	en-US=menu
es-ES=mercantil	en-US=mercantile
es-ES=metáfora	en-US=metaphor
es-ES=meterse	en-US=intrude
es-ES=método	en-US=method
es-ES=milenio	en-US=millennium
es-ES=ministerio	en-US=ministry
es-ES=misterio	en-US=mystery
es-ES=mito	en-US=myth
es-ES=moisés	en-US=bassinet
es-ES=molécula	en-US=molecule
es-ES=molecular	en-US=molecular
es-ES=monarca	en-US=monarch
es-ES=monarquía	en-US=monarchy
es-ES=monasterio	en-US=monastery
es-ES=montaña	en-US=mountain
es-ES=muertos	en-US=dead
es-ES=multimedia	en-US=multimedia
es-ES=muscular	en-US=muscular
es-ES=museo	en-US=museum
es-ES=músico	en-US=musician
es-ES=muslo	en-US=thigh
es-ES=nacionalista	en-US=nationalist
es-ES=niños	en-US=childish
es-ES=nitrógeno	en-US=nitrogen
es-ES=nómina	en-US=payroll
es-ES=noroeste	en-US=northwest
es-ES=novelista	en-US=novelist
es-ES=noventa	en-US=ninety,90
es-ES=nuclear	en-US=nuclear
es-ES=nueve	en-US=nine,9
es-ES=obispo	en-US=bishop
es-ES=obrera	en-US=worker
es-ES=océano	en-US=ocean
es-ES=ochenta	en-US=eighty,80
es-ES=octavo	en-US=eighth
es-ES=olvidar	en-US=forget
es-ES=operador	en-US=operator
es-ES=ópera	en-US=opera
es-ES=órbita	en-US=orbit
es-ES=orientar	en-US=orient
es-ES=orquesta	en-US=orchestra
es-ES=oxígeno	en-US=oxygen
es-ES=padres	en-US=parents
es-ES=pañuelo	en-US=handkerchief
es-ES=paradigma	en-US=paradigm
es-ES=paradoja	en-US=paradox
es-ES=paralelo	en-US=parallel
es-ES=párrafo	en-US=paragraph
es-ES=partidario	en-US=partisan
es-ES=pasa	en-US=raisin
es-ES=pasaporte	en-US=passport
es-ES=patología	en-US=pathology
es-ES=península	en-US=peninsula
es-ES=perejil	en-US=parsley
es-ES=perfume	en-US=perfume
es-ES=periodista	en-US=journalist
es-ES=pianista	en-US=pianist
es-ES=pintar	en-US=paint
es-ES=pirámide	en-US=pyramid
es-ES=planeta	en-US=planet
es-ES=plasma	en-US=plasma
es-ES=poeta	en-US=poet
es-ES=porcentaje	en-US=percentage
es-ES=posible	en-US=possible
es-ES=prado	en-US=meadow
es-ES=precisar	en-US=precise
es-ES=prestigio	en-US=prestige
es-ES=pretexto	en-US=pretext
es-ES=príncipe	en-US=prince
es-ES=procedencia	en-US=provenance
es-ES=procedimiento	en-US=procedure
es-ES=productor	en-US=producer
es-ES=prólogo	en-US=prologue,prolog
es-ES=propaganda	en-US=propaganda
es-ES=protagonista	en-US=protagonist
es-ES=proteína	en-US=protein
es-ES=provecho	en-US=advantage
es-ES=psicoanálisis	en-US=psychoanalysis
es-ES=psicología	en-US=psychology
es-ES=psicosis	en-US=psychosis
es-ES=psiquiatra	en-US=psychiatrist
es-ES=psiquiatría	en-US=psychiatry
es-ES=publicar	en-US=publish
es-ES=pulmonar	en-US=pulmonary
es-ES=pulmón	en-US=lung
es-ES=puré	en-US=puree
es-ES=quince	en-US=fifteen,15
es-ES=recibo	en-US=receipt
es-ES=reciente	en-US=recent
es-ES=redacción	en-US=essay
es-ES=referéndum	en-US=referendum
es-ES=reforma	en-US=reform
es-ES=refugiado	en-US=refugee
es-ES=relevante	en-US=relevant
es-ES=repertorio	en-US=repertoire
es-ES=represión	en-US=crackdown
es-ES=respirar	en-US=breathe
es-ES=restaurante	en-US=restaurant
es-ES=retirado	en-US=veteran
es-ES=revolucionaria	en-US=revolutionary
es-ES=revolucionario	en-US=revolutionary
es-ES=revólver	en-US=revolver
es-ES=romero	en-US=rosemary
es-ES=sabor	en-US=flavor,flavour
es-ES=sacerdote	en-US=priest
es-ES=saldo	en-US=remainder
es-ES=saliva	en-US=saliva
es-ES=sanidad	en-US=health
es-ES=seda	en-US=silk
es-ES=seminario	en-US=seminar
es-ES=señores	en-US=gentleman
es-ES=sequía	en-US=drought
es-ES=sesenta	en-US=sixty,60
es-ES=setenta	en-US=seventy,70
es-ES=sexto	en-US=sixth
es-ES=siete	en-US=seven,7
es-ES=siglo	en-US=century
es-ES=silueta	en-US=silhouette
es-ES=simpatía	en-US=warmth
es-ES=síndrome	en-US=syndrome
es-ES=sinfonía	en-US=symphony
es-ES=síntoma	en-US=symptom
es-ES=sistema	en-US=system
es-ES=soberanía	en-US=sovereignty
es-ES=sociedad	en-US=society
es-ES=sociología	en-US=sociology
es-ES=software	en-US=software
es-ES=solucionar	en-US=solve
es-ES=soñar	en-US=dream
es-ES=sonrisa	en-US=smile
es-ES=sospechar	en-US=suspect
es-ES=suicida	en-US=suicide
es-ES=suicidio	en-US=suicide
es-ES=sustento	en-US=livelihood
es-ES=tabaco	en-US=tobacco
es-ES=tango	en-US=tango
es-ES=tarjeta	en-US=card
es-ES=técnica	en-US=technique
es-ES=tecnología	en-US=technology
es-ES=telescopio	en-US=telescope
es-ES=temperatura	en-US=temperature
es-ES=teniente	en-US=lieutenant
es-ES=teología	en-US=theology
es-ES=teórica	en-US=theorist
es-ES=terapia	en-US=therapy
es-ES=territorio	en-US=territory
es-ES=terror	en-US=terror
es-ES=terrorista	en-US=terrorist
es-ES=tesis	en-US=thesis
es-ES=tomate	en-US=tomato
es-ES=tortura	en-US=torture
es-ES=tragedia	en-US=tragedy
es-ES=traición	en-US=treason
es-ES=trámite	en-US=procedure
es-ES=trance	en-US=trance
es-ES=trece	en-US=thirteen,13
es-ES=treinta	en-US=thirty,30
es-ES=tres	en-US=three,3
es-ES=triángulo	en-US=triangle
es-ES=tribu	en-US=tribe
es-ES=tribuna	en-US=tribune
es-ES=tributo	en-US=tribute
es-ES=trigo	en-US=wheat
es-ES=turista	en-US=tourist
es-ES=única	en-US=unique
es-ES=usuario	en-US=user
es-ES=útero	en-US=womb
es-ES=utopía	en-US=utopia
es-ES=vacuna	en-US=vaccine
es-ES=vehículo	en-US=vehicle
es-ES=vehículos	en-US=vehicle
es-ES=veinte	en-US=twenty,20
es-ES=velada	en-US=soiree
es-ES=ventana	en-US=window
es-ES=verbo	en-US=verb
es-ES=veredicto	en-US=verdict
es-ES=victoria	en-US=victory
es-ES=viola	en-US=viola
es-ES=virtud	en-US=virtue
es-ES=virus	en-US=virus
es-ES=vitamina	en-US=vitamin
es-ES=volando	en-US=airborne
es-ES=volcán	en-US=volcano
es-ES=zumo	en-US=juice
zh=一堆	en-US=crowd
zh=三分之一	en-US=third
zh=三角	en-US=triangle
zh=三角形	en-US=triangle
zh=三角洲	en-US=delta
zh=上面	en-US=above
zh=不良	en-US=harmful
zh=专业	en-US=specialty
zh=专利	en-US=patent
zh=世纪	en-US=century
zh=东家	en-US=landlord
zh=丝线	en-US=silk
zh=丝绸	en-US=silk
zh=中子	en-US=neutron
zh=中级	en-US=intermediate
zh=主教	en-US=bishop
zh=主流	en-US=mainstream
zh=书签	en-US=bookmark
zh=乳胶	en-US=latex
zh=事故	en-US=accident
zh=交换机	en-US=switchboard
zh=人家	en-US=household
zh=人才	en-US=genius
zh=人质	en-US=hostage
zh=人马	en-US=centaur
zh=仙人掌	en-US=cactus
zh=企业家	en-US=entrepreneur
zh=企鹅	en-US=penguin
zh=传媒	en-US=media
zh=伴音	en-US=audio
zh=体育场	en-US=stadium
zh=使用者	en-US=user
zh=例子	en-US=example
zh=侥幸	en-US=fluke
zh=保护区	en-US=reserve
zh=保险	en-US=insurance
zh=保险业	en-US=insurance
zh=信封	en-US=envelope
zh=候补	en-US=candidate
zh=候选人	en-US=candidate
zh=储备	en-US=backlog
zh=催化剂	en-US=catalyst
zh=像素	en-US=pixel
zh=光圈	en-US=aperture
zh=光子	en-US=photon
zh=克制	en-US=restraint
zh=免除	en-US=avoid
zh=公主	en-US=princess
zh=公式	en-US=formula
zh=兰花	en-US=orchid
zh=关键词	en-US=keyword
zh=其余	en-US=remainder
zh=兽医	en-US=veterinarian
zh=内衣	en-US=underwear
zh=内阁	en-US=cabinet
zh=军官	en-US=officer
zh=农药	en-US=pesticide
zh=冰山	en-US=iceberg
zh=决心	en-US=resolve
zh=凳子	en-US=stool
zh=分流	en-US=shunt
zh=前者	en-US=former
zh=力气	en-US=strength
zh=加大	en-US=enlarge
zh=助理	en-US=assistant
zh=劳动力	en-US=workforce
zh=化合物	en-US=compound
zh=北方	en-US=north
zh=区别	en-US=distinguish
zh=医师	en-US=physician
zh=医药	en-US=remedy
zh=半夜	en-US=midnight
zh=南方	en-US=south
zh=博物馆	en-US=museum
zh=卡车	en-US=truck
zh=危机	en-US=crisis
zh=历史学家	en-US=historian
zh=厨房	en-US=kitchen
zh=反馈	en-US=feedback
zh=发泄	en-US=vent
zh=取得	en-US=acquire
zh=口令	en-US=password
zh=口袋	en-US=pocket
zh=可卡因	en-US=cocaine
zh=叶片	en-US=blade
zh=吉他	en-US=guitar
zh=吉普	en-US=jeep
zh=吉普车	en-US=jeep
zh=吉祥物	en-US=mascot
zh=名录	en-US=directory
zh=名胜古迹	en-US=landmark
zh=后院	en-US=backyard
zh=向上	en-US=improve
zh=向日葵	en-US=sunflower
zh=向量	en-US=vector
zh=含有	en-US=contain
zh=周年	en-US=anniversary
zh=咖啡因	en-US=caffeine
zh=品味	en-US=relish
zh=品种	en-US=variety
zh=哲人	en-US=sage
zh=喉咙	en-US=throat
zh=喜剧	en-US=comedy
zh=喷泉	en-US=fountain
zh=器具	en-US=appliance
zh=回路	en-US=circuit
zh=回避	en-US=avoid
zh=地产	en-US=estate
zh=地位	en-US=status
zh=地块	en-US=massif
zh=垒球	en-US=softball
zh=基建	en-US=infrastructure
zh=墨镜	en-US=sunglasses
zh=处理器	en-US=processor
zh=外科	en-US=surgery
zh=外科医生	en-US=surgeon
zh=外边	en-US=outside
zh=外面	en-US=outside
zh=多云	en-US=cloudy
zh=多媒体	en-US=multimedia
zh=大使馆	en-US=embassy
zh=大洋	en-US=ocean
zh=大理石	en-US=marble
zh=大腿	en-US=thigh
zh=大象	en-US=elephant
zh=大麦	en-US=barley
zh=天敌	en-US=predator
zh=天赋	en-US=talent
zh=太阳镜	en-US=sunglasses
zh=头像	en-US=avatar
zh=女演员	en-US=actress
zh=女神	en-US=goddess
zh=媒介	en-US=vehicle
zh=存储	en-US=storage
zh=存货	en-US=backlog
zh=季节	en-US=season
zh=安全性	en-US=safety
zh=实验室	en-US=laboratory
zh=宣扬	en-US=advertise
zh=家具	en-US=furniture
zh=家禽	en-US=poultry
zh=容貌	en-US=looks
zh=寝室	en-US=bedroom
zh=对方	en-US=counterpart
zh=寿司	en-US=sushi
zh=尊重	en-US=respect
zh=小区	en-US=compound
zh=小卖部	en-US=buffet
zh=小麦	en-US=wheat
zh=尼龙	en-US=nylon
zh=尿布	en-US=diaper
zh=尿素	en-US=urea
zh=山羊	en-US=goat
zh=工程师	en-US=engineer
zh=工艺	en-US=technology
zh=巧克力	en-US=chocolate
zh=市井	en-US=marketplace
zh=帐篷	en-US=tent
zh=帝王	en-US=emperor
zh=常规	en-US=routine
zh=常青	en-US=evergreen
zh=平台	en-US=platform
zh=平均	en-US=average
zh=平房	en-US=bungalow
zh=平方	en-US=square
zh=年份	en-US=vintage
zh=幸存者	en-US=survivor
zh=广告牌	en-US=billboard
zh=座位	en-US=seat
zh=延长	en-US=extend
zh=建筑学	en-US=architecture
zh=开心	en-US=rejoice
zh=强劲	en-US=powerful
zh=强大	en-US=powerful
zh=录像	en-US=footage
zh=录影	en-US=video
zh=形容	en-US=describe
zh=影子	en-US=shadow
zh=微笑	en-US=smile
zh=心房	en-US=atrium
zh=心理学	en-US=psychology
zh=志愿者	en-US=volunteer
zh=忠告	en-US=advice
zh=恐怕	en-US=afraid
zh=恐龙	en-US=dinosaur
zh=情绪	en-US=mood
zh=想法	en-US=idea
zh=成员	en-US=member
zh=成效	en-US=successful
zh=房东	en-US=landlord
zh=所得	en-US=earnings
zh=手套	en-US=glove
zh=手法	en-US=technique
zh=手电筒	en-US=flashlight
zh=手镯	en-US=bracelet
zh=打印机	en-US=printer
zh=扫描	en-US=scan
zh=扶梯	en-US=ladder
zh=投机	en-US=adventure
zh=投资人	en-US=investor
zh=投资者	en-US=investor
zh=折扣	en-US=discount
zh=护士	en-US=nurse
zh=报告	en-US=report
zh=抽奖	en-US=lottery
zh=抽象	en-US=abstract
zh=拖拉机	en-US=tractor
zh=拖鞋	en-US=slipper
zh=拳头	en-US=fist
zh=指数	en-US=index
zh=按摩	en-US=massage
zh=捷径	en-US=shortcut
zh=排球	en-US=volleyball
zh=推进	en-US=advance
zh=提高	en-US=improve
zh=搭档	en-US=partner
zh=支部	en-US=chapter
zh=收藏家	en-US=collector
zh=收音机	en-US=radio
zh=放松	en-US=relax
zh=政策	en-US=policy
zh=救护车	en-US=ambulance
zh=教会	en-US=church
zh=教堂	en-US=church
zh=教室	en-US=classroom
zh=教师	en-US=teacher
zh=数据	en-US=data
zh=数据库	en-US=database
zh=文献	en-US=literature
zh=斑马	en-US=zebra
zh=新人	en-US=newcomer
zh=新闻	en-US=news
zh=方针	en-US=policy
zh=旅客	en-US=passenger
zh=日记	en-US=diary
zh=早餐	en-US=breakfast
zh=早饭	en-US=breakfast
zh=昏迷	en-US=coma
zh=智慧	en-US=wisdom
zh=曲线	en-US=curve
zh=最高	en-US=supreme
zh=月份	en-US=month
zh=月台	en-US=platform
zh=有限	en-US=finite
zh=服务器	en-US=server
zh=木瓜	en-US=papaya
zh=未来	en-US=future
zh=本土	en-US=mainland
zh=本科	en-US=undergraduate
zh=本科生	en-US=undergraduate
zh=朱古力	en-US=chocolate
zh=机身	en-US=fuselage
zh=村民	en-US=villager
zh=来电	en-US=chemistry
zh=杰作	en-US=masterpiece
zh=松鼠	en-US=squirrel
zh=林子	en-US=grove
zh=枫树	en-US=maple
zh=架子	en-US=shelf
zh=柜子	en-US=cupboard
zh=柳树	en-US=willow
zh=柴油	en-US=diesel
zh=标本	en-US=specimen
zh=栖息	en-US=perch
zh=校园	en-US=campus
zh=核桃	en-US=walnut
zh=桌面	en-US=desktop
zh=桑拿	en-US=sauna
